UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT,BAGR100,BAGR150,BAGR200,L4GR100,L4GR150,L4GR200        
100654,29,22,33,50,67,50,100,28,38,21,21,43,56,31,15,25,29,22,33,50,67,50,100,28,38,21,21,43,56,31,29,29,30,30,27,27,11,28,30,.,.,.
100663,63,57,66,67,87,87,.,55,47,63,55,56,82,20,43,59,62,57,66,67,87,87,.,55,47,63,55,56,82,20,54,53,55,55,72,72,42,62,65,.,.,.
100690,40,33,50,.,.,.,.,40,.,.,.,.,.,20,40,40,40,33,50,.,.,.,.,40,.,.,.,.,.,20,40,40,.,.,.,.,67,67,67,.,.,.
100706,62,58,68,64,72,74,0,43,62,63,53,.,85,20,41,57,62,58,68,64,72,74,0,43,62,63,53,.,85,20,49,49,55,55,70,70,35,61,63,.,.,.
100724,30,24,34,0,67,100,0,29,60,38,25,29,71,33,13,25,30,24,34,0,67,100,0,29,60,38,25,29,71,33,28,28,39,39,0,0,10,28,30,.,.,.
100751,74,71,76,74,67,66,83,62,64,76,72,79,73,18,56,71,74,71,76,74,67,66,83,62,64,76,72,79,73,18,59,59,72,72,78,78,53,72,73,.,.,.
100760,24,22,25,.,0,0,.,25,33,25,17,0,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,.,.,.,25,.,.,.,.,17,22,24
100830,36,27,41,50,31,33,0,34,20,37,30,67,47,29,14,29,36,27,41,50,31,33,0,34,20,37,30,67,47,29,31,31,45,45,40,40,13,36,40,.,.,.
100858,79,76,82,81,77,77,50,68,72,81,76,75,69,13,57,76,79,76,82,81,77,77,50,68,72,81,76,75,69,13,67,67,79,79,82,82,55,81,82,.,.,.
100937,64,53,77,100,50,50,.,31,80,71,20,0,.,26,56,63,64,53,77,100,50,50,.,31,80,71,20,0,.,26,48,48,67,67,71,71,65,70,71,.,.,.
101028,36,46,30,.,100,100,.,29,58,42,11,34,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,.,50,.,47,.,.,.,.,15,26,32
101116,15,50,0,.,.,.,.,13,.,33,.,0,.,.,0,0,0,0,0,.,.,.,.,0,.,0,.,0,.,.,0,0,50,0,50,0,9,14,14,.,.,.
101143,29,33,26,0,.,.,.,27,31,30,23,32,.,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,.,50,.,34,.,.,.,.,20,29,33
101161,26,26,27,29,20,20,.,22,26,29,26,18,0,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,29,.,.,.,.,14,22,25
101189,38,34,41,.,50,100,0,24,40,45,38,0,38,36,20,33,37,33,40,.,0,.,0,24,40,43,38,0,38,36,30,30,44,40,51,50,12,17,17,.,.,.
101240,32,40,26,0,100,100,.,25,45,33,32,100,20,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,.,.,.,36,.,.,.,.,14,25,34
101277,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84,.,100,.,0,.,.,.,.,24,59,59
101286,27,30,24,.,.,.,.,18,35,30,13,30,0,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,30,.,.,.,.,20,29,32
101295,48,53,46,29,33,33,.,32,52,49,52,33,67,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,.,53,.,55,.,.,.,.,31,45,47
101301,39,45,35,.,.,.,.,44,100,21,50,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,.,.,.,29,.,.,.,.,25,37,37
101365,25,100,14,.,.,.,.,29,0,.,.,.,.,.,0,0,0,.,0,.,.,.,.,0,.,.,.,.,.,.,29,0,0,.,.,.,.,.,.,.,.,.
101435,47,39,55,.,0,0,0,41,33,53,32,25,0,.,39,46,47,39,55,.,0,0,0,41,33,53,32,25,0,.,41,41,51,51,52,52,33,44,45,.,.,.
