UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100663, 1,  1,"R",1716,"R",1650
100663, 4,  4,"R",3,"R",3
100663, 6,  6,"R",10,"R",9
100663, 8,  8,"R",6,"R",6
100663, 9,  9,"R",2,"R",2
100663,12, 12,"R",22,"R",20
100663,13, 13,"R",128,"R",127
100663,17, 17,"R",12,"R",12
100663,18, 18,"R",4,"R",3
100663,20, 20,"R",2,"R",2
100663,21, 21,"R",5,"R",5
100663,22, 22,"R",10,"R",10
100663,24, 24,"R",5,"R",5
100663,25, 25,"R",2,"R",2
100663,26, 26,"R",4,"R",4
100663,28, 28,"R",20,"R",19
100663,29, 29,"R",5,"R",4
100663,31, 31,"R",1,"R",1
100663,32, 32,"R",1,"R",1
100663,36, 36,"R",4,"R",3
100663,37, 37,"R",10,"R",10
100663,39, 39,"R",5,"R",5
100663,40, 40,"R",1,"R",1
100663,42, 42,"R",1,"R",1
100663,45, 45,"R",4,"R",4
100663,47, 47,"R",52,"R",52
100663,48, 48,"R",21,"R",21
100663,51, 51,"R",1,"R",1
100663,55, 55,"R",1,"R",1
100663,58,999,"R",2058,"R",1984
100663,90, 90,"R",37,"R",26
100663,99, 99,"R",2095,"R",2010
100706, 1,  1,"R",793,"R",615
100706, 4,  4,"R",3,"R",2
100706, 5,  5,"R",2,"R",1
100706, 6,  6,"R",6,"R",6
100706, 8,  8,"R",3,"R",3
100706,10, 10,"R",1,"R",1
100706,12, 12,"R",7,"R",7
100706,13, 13,"R",34,"R",31
100706,15, 15,"R",2,"R",2
100706,17, 17,"R",16,"R",14
100706,18, 18,"R",1,"R",1
100706,19, 19,"R",1,"R",1
100706,20, 20,"R",1,"R",1
100706,21, 21,"R",12,"R",9
100706,22, 22,"R",4,"R",3
100706,23, 23,"R",1,"R",1
100706,24, 24,"R",3,"R",3
100706,25, 25,"R",1,"R",1
100706,26, 26,"R",4,"R",2
100706,27, 27,"R",5,"R",4
100706,28, 28,"R",7,"R",6
100706,29, 29,"R",7,"R",6
100706,33, 33,"R",2,"R",2
100706,34, 34,"R",2,"R",1
100706,36, 36,"R",5,"R",4
100706,37, 37,"R",6,"R",6
100706,38, 38,"R",1,"R",1
100706,39, 39,"R",4,"R",4
100706,40, 40,"R",2,"R",2
100706,42, 42,"R",4,"R",4
100706,45, 45,"R",6,"R",5
100706,46, 46,"R",1,"R",1
100706,47, 47,"R",186,"R",168
100706,48, 48,"R",12,"R",11
100706,51, 51,"R",9,"R",7
100706,53, 53,"R",3,"R",3
100706,55, 55,"R",1,"R",1
100706,57, 57,"R",2,"R",1
100706,58,999,"R",1160,"R",941
100706,90, 90,"R",12,"R",2
100706,98, 98,"R",4,"A",
100706,99, 99,"R",1176,"R",943
100751, 1,  1,"R",2956,"R",2940
100751, 2,  2,"R",3,"R",3
100751, 4,  4,"R",52,"R",51
100751, 5,  5,"R",37,"R",36
100751, 6,  6,"R",246,"R",243
100751, 8,  8,"R",99,"R",96
100751, 9,  9,"R",62,"R",62
100751,10, 10,"R",16,"R",16
100751,11, 11,"R",7,"R",7
100751,12, 12,"R",419,"R",416
100751,13, 13,"R",688,"R",684
100751,15, 15,"R",5,"R",5
100751,16, 16,"R",13,"R",13
100751,17, 17,"R",343,"R",341
100751,18, 18,"R",113,"R",112
100751,19, 19,"R",9,"R",9
100751,20, 20,"R",22,"R",22
100751,21, 21,"R",82,"R",82
100751,22, 22,"R",165,"R",164
100751,23, 23,"R",5,"R",5
100751,24, 24,"R",136,"R",135
100751,25, 25,"R",91,"R",91
100751,26, 26,"R",119,"R",119
100751,27, 27,"R",46,"R",46
100751,28, 28,"R",90,"R",90
100751,29, 29,"R",76,"R",75
100751,30, 30,"R",12,"R",12
100751,31, 31,"R",15,"R",15
100751,32, 32,"R",25,"R",25
100751,33, 33,"R",22,"R",22
100751,34, 34,"R",207,"R",207
100751,35, 35,"R",15,"R",15
100751,36, 36,"R",214,"R",214
100751,37, 37,"R",193,"R",191
100751,38, 38,"R",2,"R",2
100751,39, 39,"R",137,"R",136
100751,40, 40,"R",25,"R",25
100751,41, 41,"R",13,"R",13
100751,42, 42,"R",184,"R",184
100751,44, 44,"R",15,"R",15
100751,45, 45,"R",98,"R",96
100751,46, 46,"R",4,"R",4
100751,47, 47,"R",301,"R",299
100751,48, 48,"R",562,"R",557
100751,49, 49,"R",9,"R",9
100751,51, 51,"R",170,"R",169
100751,53, 53,"R",20,"R",20
100751,54, 54,"R",10,"R",10
100751,55, 55,"R",51,"R",51
100751,56, 56,"R",3,"R",3
100751,57, 57,"R",21,"R",14
100751,58,999,"R",8228,"R",8171
100751,90, 90,"R",51,"R",29
100751,99, 99,"R",8279,"R",8200
100760, 1,  1,"R",360,"R",262
100760,12, 12,"R",3,"R",1
100760,13, 13,"R",2,"R",2
100760,22, 22,"R",2,"R",2
100760,28, 28,"R",1,"R",1
100760,36, 36,"R",2,"R",1
100760,39, 39,"R",1,"R",1
100760,47, 47,"R",2,"R",2
