UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
100654,"R",1222,"R",0,"R",1222,"R",137,"R",11,"R",343,"R",28,"R",0,"R",1222,"R",19,"R",9,"R",362,"R",30,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",1590,"R",3,"R",1587,"R",668,"R",42,"R",991,"R",62,"R",0,"R",1587,"R",39,"R",20,"R",1030,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100690,"R",6,"R",0,"R",6,"R",4,"R",67,"R",4,"R",67,"Z",0,"R",6,"R",0,"Z",0,"R",4,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",1026,"R",0,"R",1026,"R",362,"R",35,"R",623,"R",61,"R",0,"R",1026,"R",23,"R",19,"R",646,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",1006,"R",0,"R",1006,"R",102,"R",10,"R",286,"R",28,"R",0,"R",1006,"R",13,"R",9,"R",299,"R",30,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100751,"R",7176,"R",7,"R",7169,"R",3774,"R",53,"R",5178,"R",72,"R",0,"R",7169,"R",54,"R",31,"R",5232,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",328,"R",0,"R",328,"R",57,"R",17,"R",71,"R",22,"R",0,"R",328,"R",9,"R",19,"R",80,"R",24
100830,"R",568,"R",2,"R",566,"R",72,"R",13,"R",202,"R",36,"R",0,"R",566,"R",24,"R",7,"R",226,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100858,"R",4855,"R",7,"R",4848,"R",2676,"R",55,"R",3921,"R",81,"R",0,"R",4848,"R",62,"R",19,"R",3983,"R",82,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,"R",441,"R",0,"R",441,"R",286,"R",65,"R",308,"R",70,"R",0,"R",441,"R",3,"R",0,"R",311,"R",71,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
