UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
100654, 1,"R",904,"R",2,"R",902,"R",262,"R",0,"R",262,"R",116,"R",0,"R",116,"R",35,"R",0,"R",35,"R",266,"R",0,"R",266,"R",72,"R",0,"R",72,"R",1286,"R",2,"R",1284,"R",369,"R",0,"R",369
100654, 2,"R",904,"R",2,"R",902,"R",262,"R",0,"R",262,"R",116,"R",0,"R",116,"R",35,"R",0,"R",35,"R",266,"R",0,"R",266,"R",72,"R",0,"R",72,"R",1286,"R",2,"R",1284,"R",369,"R",0,"R",369
100663, 1,"R",844,"R",1,"R",843,"R",442,"R",14,"R",456,"R",330,"R",0,"R",330,"R",180,"R",3,"R",183,"R",1054,"R",8,"R",1046,"R",749,"R",1,"R",750,"R",2228,"R",9,"R",2219,"R",1371,"R",18,"R",1389
100663, 2,"R",828,"R",1,"R",827,"R",442,"R",1,"R",443,"R",326,"R",0,"R",326,"R",180,"R",0,"R",180,"R",1053,"R",8,"R",1045,"R",749,"R",0,"R",749,"R",2207,"R",9,"R",2198,"R",1371,"R",1,"R",1372
100663, 3,"R",16,"Z",0,"R",16,"Z",0,"R",13,"R",13,"R",4,"Z",0,"R",4,"Z",0,"R",3,"R",3,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",21,"R",0,"R",21,"R",0,"R",17,"R",17
100690, 1,"R",5,"R",0,"R",5,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",0,"R",5,"R",2,"R",0,"R",2
100690, 2,"R",5,"Z",0,"R",5,"R",2,"R",0,"R",2,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",0,"R",5,"R",2,"R",0,"R",2
100706, 1,"R",361,"R",0,"R",361,"R",176,"R",0,"R",176,"R",202,"R",0,"R",202,"R",112,"R",0,"R",112,"R",776,"R",0,"R",776,"R",541,"R",0,"R",541,"R",1339,"R",0,"R",1339,"R",829,"R",0,"R",829
100706, 2,"R",361,"Z",0,"R",361,"R",176,"R",0,"R",176,"R",202,"Z",0,"R",202,"R",112,"R",0,"R",112,"R",776,"Z",0,"R",776,"R",541,"R",0,"R",541,"R",1339,"R",0,"R",1339,"R",829,"R",0,"R",829
100724, 1,"R",741,"R",0,"R",741,"R",209,"R",0,"R",209,"R",201,"R",0,"R",201,"R",78,"R",0,"R",78,"R",9,"R",0,"R",9,"R",0,"R",0,"R",0,"R",951,"R",0,"R",951,"R",287,"R",0,"R",287
100724, 2,"R",741,"Z",0,"R",741,"R",209,"R",0,"R",209,"R",201,"Z",0,"R",201,"R",78,"R",0,"R",78,"R",9,"Z",0,"R",9,"R",0,"R",0,"R",0,"R",951,"R",0,"R",951,"R",287,"R",0,"R",287
100751, 1,"R",1213,"R",1,"R",1212,"R",718,"R",0,"R",718,"R",1254,"R",1,"R",1253,"R",896,"R",0,"R",896,"R",4918,"R",3,"R",4915,"R",3824,"R",0,"R",3824,"R",7385,"R",5,"R",7380,"R",5438,"R",0,"R",5438
100751, 2,"R",1213,"R",1,"R",1212,"R",718,"R",0,"R",718,"R",1254,"R",1,"R",1253,"R",896,"R",0,"R",896,"R",4918,"R",3,"R",4915,"R",3824,"R",0,"R",3824,"R",7385,"R",5,"R",7380,"R",5438,"R",0,"R",5438
100760, 4,"R",110,"Z",0,"R",110,"A",,"A",,"R",25,"R",0,"Z",0,"R",0,"A",,"A",,"R",0,"R",115,"Z",0,"R",115,"A",,"A",,"R",29,"R",225,"R",0,"R",225,"A",,"A",,"R",54
100830, 1,"R",325,"R",0,"R",325,"R",100,"R",0,"R",100,"R",75,"R",0,"R",75,"R",34,"R",0,"R",34,"R",226,"R",1,"R",225,"R",89,"R",0,"R",89,"R",626,"R",1,"R",625,"R",223,"R",0,"R",223
100830, 2,"R",325,"R",0,"R",325,"R",100,"R",0,"R",100,"R",75,"R",0,"R",75,"R",34,"R",0,"R",34,"R",226,"R",1,"R",225,"R",89,"R",0,"R",89,"R",626,"R",1,"R",625,"R",223,"R",0,"R",223
100858, 1,"R",672,"R",2,"R",670,"R",446,"R",0,"R",446,"R",673,"R",0,"R",673,"R",530,"R",0,"R",530,"R",3426,"R",7,"R",3419,"R",2796,"R",0,"R",2796,"R",4771,"R",9,"R",4762,"R",3772,"R",0,"R",3772
