Academic Yr,Characteristics FR,adm redacted calc,adm redacted percent calc
2017,African American,"4,352",0.041518002
2017,American Indian,561,0.005351930
2017,Asian,"30,302",0.289080537
2017,Hispanic/Latino(a),"24,414",0.232909122
2017,Pacific Islander,257,0.002451775
2017,White,"23,941",0.228396711
2017,Unknown,"2,928",0.027933067
2017,International,"18,067",0.172358856
2018,African American,"4,444",0.041363006
2018,American Indian,507,0.004718957
2018,Asian,"32,138",0.299127877
2018,Hispanic/Latino(a),"25,078",0.233416171
2018,Pacific Islander,265,0.002466516
2018,White,"22,874",0.212902205
2018,Unknown,"3,232",0.030082186
2018,International,"18,901",0.175923082
2019,African American,"4,406",0.040922094
2019,American Indian,439,0.004077349
2019,Asian,"32,567",0.302476130
2019,Hispanic/Latino(a),"26,247",0.243777167
2019,Pacific Islander,259,0.002405543
2019,White,"22,469",0.208687818
2019,Unknown,"2,877",0.026721031
2019,International,"18,404",0.170932868
2020,African American,"5,170",0.043723888
2020,American Indian,476,0.004025642
2020,Asian,"36,034",0.304747890
2020,Hispanic/Latino(a),"30,468",0.257674938
2020,Pacific Islander,265,0.002241166
2020,White,"23,503",0.198770318
2020,Unknown,"3,581",0.030285347
2020,International,"18,745",0.158530810
2021,African American,"6,839",0.051943613
2021,American Indian,560,0.004253315
2021,Asian,"38,738",0.294223086
2021,Hispanic/Latino(a),"34,279",0.260356063
2021,Pacific Islander,341,0.002589965
2021,White,"27,682",0.210250490
2021,Unknown,"3,427",0.026028771
2021,International,"19,796",0.150354696
2022,African American,"6,399",0.051096756
2022,American Indian,687,0.005485775
2022,Asian,"39,264",0.313527585
2022,Hispanic/Latino(a),"34,121",0.272460134
2022,Pacific Islander,296,0.002363594
2022,White,"24,079",0.192273602
2022,Unknown,"3,161",0.025240951
2022,International,"17,226",0.137551604
2023,African American,"6,559",0.050004956
2023,American Indian,766,0.005839884
2023,Asian,"40,719",0.310436314
2023,Hispanic/Latino(a),"36,381",0.277363971
2023,Pacific Islander,321,0.002447262
2023,White,"25,578",0.195003316
2023,Unknown,"3,425",0.026111751
2023,International,"17,418",0.132792547
2024,African American,"7,139",0.052111011
2024,American Indian,757,0.005525709
2024,Asian,"41,519",0.303067243
2024,Hispanic/Latino(a),"38,781",0.283081258
2024,Pacific Islander,304,0.002219043
2024,White,"25,099",0.183209729
2024,Unknown,"4,430",0.032336711
2024,International,"18,967",0.138449298
2025,African American,"7,620",0.051252388
2025,American Indian,788,0.005300116
2025,Asian,"45,313",0.304776830
2025,Hispanic/Latino(a),"41,458",0.278847965
2025,Pacific Islander,374,0.002515537
2025,White,"26,368",0.177352094
2025,Unknown,"4,832",0.032500202
2025,International,"21,923",0.147454868
