Academic Yr,Characteristics,adm redacted calc,adm redacted percent calc
2017,African American,"1,256",0.047094113
2017,American Indian,165,0.006186727
2017,Asian,"6,699",0.251181102
2017,Hispanic/Latino(a),"6,656",0.249568804
2017,Pacific Islander,96,0.003599550
2017,Unknown,733,0.027484064
2017,White,"7,376",0.276565429
2017,International,"3,689",0.138320210
2018,African American,"1,393",0.048820664
2018,American Indian,175,0.006133249
2018,Asian,"6,895",0.241650019
2018,Hispanic/Latino(a),"7,629",0.267374619
2018,Pacific Islander,81,0.002838818
2018,Unknown,730,0.025584411
2018,White,"7,793",0.273122350
2018,International,"3,837",0.134475870
2019,African American,"1,363",0.047777622
2019,American Indian,163,0.005713685
2019,Asian,"7,115",0.249404094
2019,Hispanic/Latino(a),"7,554",0.264792485
2019,Pacific Islander,80,0.002804262
2019,Unknown,687,0.024081604
2019,White,"7,737",0.271207235
2019,International,"3,829",0.134219013
2020,African American,"1,472",0.048957329
2020,American Indian,191,0.006352479
2020,Asian,"7,676",0.255296504
2020,Hispanic/Latino(a),"8,217",0.273289653
2020,Pacific Islander,84,0.002793761
2020,Unknown,"1,060",0.035254598
2020,White,"7,596",0.252635780
2020,International,"3,771",0.125419896
2021,African American,"1,469",0.047912590
2021,American Indian,144,0.004696673
2021,Asian,"8,365",0.272831050
2021,Hispanic/Latino(a),"8,479",0.276549250
2021,Pacific Islander,97,0.003163731
2021,Unknown,561,0.018297456
2021,White,"8,060",0.262883235
2021,International,"3,485",0.113666014
2022,African American,"1,446",0.052251211
2022,American Indian,205,0.007407675
2022,Asian,"8,004",0.289224543
2022,Hispanic/Latino(a),"7,559",0.273144468
2022,Pacific Islander,81,0.002926935
2022,Unknown,537,0.019404495
2022,White,"7,532",0.272168823
2022,International,"2,310",0.083471851
2023,African American,"1,471",0.053422916
2023,American Indian,233,0.008461958
2023,Asian,"8,209",0.298129653
2023,Hispanic/Latino(a),"7,336",0.266424551
2023,Pacific Islander,72,0.002614854
2023,Unknown,669,0.024296350
2023,White,"7,390",0.268385691
2023,International,"2,155",0.078264028
2024,African American,"1,545",0.052563536
2024,American Indian,225,0.007654884
2024,Asian,"8,594",0.292382540
2024,Hispanic/Latino(a),"8,154",0.277412989
2024,Pacific Islander,79,0.002687715
2024,Unknown,698,0.023747151
2024,White,"7,705",0.262137244
2024,International,"2,393",0.081413942
2025,African American,"1,641",0.053173909
2025,American Indian,223,0.007225949
2025,Asian,"9,120",0.295518616
2025,Hispanic/Latino(a),"8,528",0.276335828
2025,Pacific Islander,88,0.002851495
2025,Unknown,653,0.021159392
2025,White,"7,842",0.254107125
2025,International,"2,766",0.089627685
