Area Type,Area Name,Year,Time Period,Ownership,NAICS Level,NAICS Code,Industry Name,Establishments,Average Monthly Employment,1st Month Emp,2nd Month Emp,3rd Month Emp,Total Wages (All Workers),Average Weekly Wages
County,Santa Clara County,2023,1st Qtr,Federal Government,2,1021,"Trade, Transportation, and Utilities",39,2681,2692,2676,2677,59045179,1694
County,Santa Clara County,2023,1st Qtr,Local Government,2,1021,"Trade, Transportation, and Utilities",29,4205,4197,4202,4218,129483861,2368
County,Santa Clara County,2023,1st Qtr,Local Government,2,52,Finance and Insurance,2,7,7,7,7,225332,2476
County,Santa Clara County,2023,1st Qtr,Local Government,5,54121,Accounting and Bookkeeping Services,1,1,1,1,1,68893,5299
County,Santa Clara County,2023,1st Qtr,Local Government,4,6243,Vocational Rehabilitation Services,9,110,106,110,115,2220231,1548
County,Santa Clara County,2023,1st Qtr,Local Government,6,812220,Cemeteries and Crematories,1,3,3,3,3,58843,1509
County,Santa Clara County,2023,1st Qtr,Local Government,4,9251,Community and Housing Program Admin,4,270,271,269,272,7861729,2234
County,Santa Clara County,2023,1st Qtr,Local Government,6,926120,Transportation Program Administration,1,6,6,6,6,260058,3334
County,Santa Clara County,2023,1st Qtr,Private,2,1021,"Trade, Transportation, and Utilities",7170,118304,119132,118286,117496,2972236306,1933
County,Santa Clara County,2023,1st Qtr,Private,4,1113,Fruit and Tree Nut Farming,42,166,168,170,160,2352881,1090
County,Santa Clara County,2023,1st Qtr,Private,6,238141,Residential Masonry Contractors,48,383,360,384,407,5727886,1148
County,Santa Clara County,2023,1st Qtr,Private,6,238161,Residential Roofing Contractors,139,973,850,1082,989,14550252,1150
County,Santa Clara County,2023,1st Qtr,Private,6,238211,Residential Electrical Contractors,331,3317,3224,3324,3405,181270108,4203
County,Santa Clara County,2023,1st Qtr,Private,6,238342,Nonresidential Tile/Terrazzo Contractors,4,128,124,135,127,2617432,1565
County,Santa Clara County,2023,1st Qtr,Private,5,23891,Site Preparation Contractors,82,906,854,981,884,20302656,1723
County,Santa Clara County,2023,1st Qtr,Private,4,3252,"Resin, Rubber, and Synthetic Fibers",9,78,79,79,78,2229027,2180
County,Santa Clara County,2023,1st Qtr,Private,5,33324,Industrial machinery manufacturing,73,8517,8569,8500,8482,509714959,4604
County,Santa Clara County,2023,1st Qtr,Private,6,336110,Automobile and Light Duty Motor Vehicle Manufacturing,4,77,79,77,75,3377780,3374
County,Santa Clara County,2023,1st Qtr,Private,3,423,"Merchant Wholesalers, Durable Goods",1359,21016,20927,21053,21068,974280829,3566
County,Santa Clara County,2023,1st Qtr,Private,6,423440,Other Commercial Equip Merchant Whsle,21,127,132,128,123,2859412,1723
County,Santa Clara County,2023,1st Qtr,Private,5,42361,Wiring & Equipment Merchant Wholesalers,73,910,897,925,910,32547022,2749
