"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06085","0","10","70","0","2024","A","",83418,1116581,220014308093,8928588425,270340684,3789,197043,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4046,5.1,-3129,-0.3,24408285358,12.5,-100997580,-1.1,10785646,4.2,430,12.8,22349,12.8
"06085","1","10","71","0","2024","A","",98,9988,1304355007,0,0,2511,130591,"",0.23,0.46,0.23,0.00,0.00,0.49,0.49,"",7,7.7,-42,-0.4,39610525,3.1,0,0.0,0,0.0,86,3.5,4500,3.6
"06085","1","102","72","0","2024","A","",98,9988,1304355007,0,0,2511,130591,"",0.23,0.47,0.23,0.00,0.00,0.49,0.49,"",7,7.7,-42,-0.4,39610525,3.1,0,0.0,0,0.0,86,3.5,4500,3.6
"06085","1","1021","73","0","2024","A","",48,2676,211879565,0,0,1523,79178,"",0.23,0.55,0.23,0.00,0.00,0.42,0.42,"",3,6.7,7,0.3,-3374284,-1.6,0,0.0,0,0.0,-28,-1.8,-1477,-1.8
"06085","1","1024","73","0","2024","A","",1,1,164997,0,0,3461,179997,"",0.09,0.00,0.00,0.00,0.00,0.68,0.68,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06085","1","1025","73","0","2024","A","",1,3524,568082563,0,0,3100,161185,"",0.10,1.07,0.62,0.00,0.00,0.58,0.58,"",0,0.0,-56,-1.6,15704031,2.8,0,0.0,0,0.0,133,4.5,6900,4.5
"06085","1","1028","73","0","2024","A","",48,3787,524227882,0,0,2662,138437,"",0.28,0.31,0.15,0.00,0.00,0.47,0.47,"",3,6.7,6,0.2,27115781,5.5,0,0.0,0,0.0,134,5.3,6972,5.3
"06085","1","44-45","74","0","2024","A","",2,50,3048209,0,0,1168,60762,"",0.40,0.17,0.10,0.00,0.00,0.59,0.59,"",0,0.0,0,0.0,230340,8.2,0,0.0,0,0.0,73,6.7,3835,6.7
"06085","1","445","75","0","2024","A","",1,39,2561351,0,0,1266,65816,"",0.71,0.54,0.26,0.00,0.00,0.49,0.49,"",0,0.0,2,5.4,233510,10.0,0,0.0,0,0.0,70,5.9,3602,5.8
"06085","1","4451","76","0","2024","A","",1,39,2561351,0,0,1266,65816,"",0.71,0.54,0.26,0.00,0.00,0.49,0.49,"",0,0.0,2,5.4,233510,10.0,0,0.0,0,0.0,70,5.9,3602,5.8
"06085","1","44511","77","0","2024","A","",1,39,2561351,0,0,1266,65816,"",0.83,0.57,0.27,0.00,0.00,0.48,0.48,"",0,0.0,2,5.4,233510,10.0,0,0.0,0,0.0,70,5.9,3602,5.8
"06085","1","445110","78","0","2024","A","",1,39,2561351,0,0,1266,65816,"",0.83,0.57,0.27,0.00,0.00,0.48,0.48,"",0,0.0,2,5.4,233510,10.0,0,0.0,0,0.0,70,5.9,3602,5.8
"06085","1","455","75","0","2024","A","",1,11,486858,0,0,832,43276,"",0.50,0.06,0.03,0.00,0.00,0.45,0.45,"",0,0.0,-1,-8.3,-3170,-0.6,0,0.0,0,0.0,52,6.7,2722,6.7
"06085","1","4551","76","0","2024","A","",1,11,486858,0,0,832,43276,"",0.68,0.09,0.04,0.00,0.00,0.44,0.44,"",0,0.0,-1,-8.3,-3170,-0.6,0,0.0,0,0.0,52,6.7,2722,6.7
"06085","1","45511","77","0","2024","A","",1,11,486858,0,0,832,43276,"",0.68,0.09,0.04,0.00,0.00,0.44,0.44,"",0,0.0,-1,-8.3,-3170,-0.6,0,0.0,0,0.0,52,6.7,2722,6.7
"06085","1","455110","78","0","2024","A","",1,11,486858,0,0,832,43276,"",0.68,0.09,0.04,0.00,0.00,0.44,0.44,"",0,0.0,-1,-8.3,-3170,-0.6,0,0.0,0,0.0,52,6.7,2722,6.7
"06085","1","48-49","74","0","2024","A","",46,2626,208831356,0,0,1529,79530,"",0.22,0.59,0.25,0.00,0.00,0.42,0.42,"",3,7.0,7,0.3,-3604624,-1.7,0,0.0,0,0.0,-31,-2.0,-1573,-1.9
"06085","1","491","75","0","2024","A","",46,2626,208831356,0,0,1529,79530,"",0.22,0.60,0.26,0.00,0.00,0.43,0.43,"",3,7.0,7,0.3,-3604624,-1.7,0,0.0,0,0.0,-31,-2.0,-1573,-1.9
"06085","1","4911","76","0","2024","A","",46,2626,208831356,0,0,1529,79530,"",0.22,0.60,0.26,0.00,0.00,0.43,0.43,"",3,7.0,7,0.3,-3604624,-1.7,0,0.0,0,0.0,-31,-2.0,-1573,-1.9
"06085","1","49111","77","0","2024","A","",46,2626,208831356,0,0,1529,79530,"",0.22,0.60,0.26,0.00,0.00,0.43,0.43,"",3,7.0,7,0.3,-3604624,-1.7,0,0.0,0,0.0,-31,-2.0,-1573,-1.9
"06085","1","491110","78","0","2024","A","",46,2626,208831356,0,0,1529,79530,"",0.22,0.60,0.26,0.00,0.00,0.43,0.43,"",3,7.0,7,0.3,-3604624,-1.7,0,0.0,0,0.0,-31,-2.0,-1573,-1.9
"06085","1","54","74","0","2024","A","",1,1,164997,0,0,3461,179997,"",0.11,0.00,0.00,0.00,0.00,0.67,0.67,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06085","1","541","75","0","2024","A","",1,1,164997,0,0,3461,179997,"",0.11,0.00,0.00,0.00,0.00,0.67,0.67,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06085","1","5417","76","0","2024","A","",1,1,164997,0,0,3461,179997,"",1.34,0.02,0.01,0.00,0.00,0.51,0.51,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06085","1","54171","77","0","2024","A","",1,1,164997,0,0,3461,179997,"",1.35,0.02,0.01,0.00,0.00,0.51,0.51,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06085","1","541713","78","0","2024","A","",1,1,164997,0,0,3461,179997,"",5.35,0.06,0.03,0.00,0.00,0.60,0.60,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06085","1","62","74","0","2024","A","",1,3524,568082563,0,0,3100,161185,"",0.11,1.10,0.64,0.00,0.00,0.58,0.58,"",0,0.0,-56,-1.6,15704031,2.8,0,0.0,0,0.0,133,4.5,6900,4.5
