County,Year,Period,Ownership,NAICS_Code,Industry_Name,Establishments,Avg_Monthly_Employment,Total_Wages,Avg_Weekly_Wage
San Mateo County,2024,Annual,Private,52,Finance and Insurance,1337,16047,6309509626,7561
San Mateo County,2024,Annual,Private,55,Management of Companies and Enterprises,96,4911,1181790817,4627
San Mateo County,2024,Annual,Private,1021,"Trade, Transportation, and Utilities",0,0,6281077177,1783
San Mateo County,2024,Annual,Private,48-49 ,Transportation and Warehousing,595,23425,2040783476,1675
San Mateo County,2024,Annual,Total Covered,10,"Total, All Industries",31181,0,81796960463,3776
San Mateo County,2024,Annual,Private,10,"Total, All Industries",30794,0,78546243484,3914
San Mateo County,2024,Annual,Private,1013,Manufacturing,645,20583,3846754162,3594
San Mateo County,2024,Annual,Private,1026,Leisure and Hospitality,2406,42889,1888603896,847
San Mateo County,2024,Annual,Private,1027,Other Services,3550,14092,968938837,1322
San Mateo County,2024,Annual,Private,44-45 ,Retail Trade,1747,29334,1673155568,1097
San Mateo County,2024,Annual,Private,22,Utilities,25,975,197327957,3891
San Mateo County,2024,Annual,Private,56,Administrative and Waste Services,1252,21591,1975116848,1759
San Mateo County,2024,Annual,Private,11,"Agriculture, Forestry, Fishing & Hunting",0,0,83325968,1211
San Mateo County,2024,Annual,Private,71,"Arts, Entertainment, and Recreation",0,0,274322648,852
San Mateo County,2024,Annual,Private,42,Wholesale Trade,900,14019,2369810176,3251
San Mateo County,2024,Annual,Private,1025,Education and Health Services,9876,59073,5347203241,1741
San Mateo County,2024,Annual,Private,1011,Natural Resources and Mining,130,1388,96172553,1333
San Mateo County,2024,Annual,Private,31-33 ,Manufacturing,645,20583,3846754162,3594
San Mateo County,2024,Annual,Private,1029,Unclassified,58,52,6244411,2332
San Mateo County,2024,Annual,Private,72,Accommodation and Food Services,2053,36696,1614281248,846
San Mateo County,2024,Annual,Private,53,Real Estate and Rental and Leasing,1396,6580,615964791,1800
San Mateo County,2024,Annual,Private,62,Health Care and Social Assistance,9353,47222,4371825629,1780
San Mateo County,2024,Annual,Private,1024,Professional and Business Services,5435,97578,22335627071,4402
San Mateo County,2024,Annual,Private,23,Construction,2004,16350,1724781750,2029
San Mateo County,2024,Annual,Private,51,Information,691,43503,29125365969,12875
San Mateo County,2024,Annual,Private,54,Professional and Technical Services,4088,71076,19178719406,5189
San Mateo County,2024,Annual,Private,61,Educational Services,523,11851,975377612,1583
San Mateo County,2024,Annual,Private,1022,Information,691,43503,29125365969,12875
San Mateo County,2024,Annual,Private,1023,Financial Activities,2734,22627,6925474417,5886
San Mateo County,2024,Annual,Private,1012,Construction,2004,16350,1724781750,2029
San Mateo County,2024,Annual,Private,21,Mining,5,64,12846585,3850
San Mateo County,2024,Annual,Private,81,"Other Services, Ex. Public Admin",3550,0,968938837,1322
Santa Clara County,2024,Annual,Total Covered,10,"Total, All Industries",83324,0,2.20E+11,3792
Santa Clara County,2024,Annual,Private,10,"Total, All Industries",81897,0,2.10E+11,3957
Santa Clara County,2024,Annual,Private,44-45 ,Retail Trade,4058,70700,4268616014,1161
Santa Clara County,2024,Annual,Private,1013,Manufacturing,2607,122438,38853558366,6103
Santa Clara County,2024,Annual,Private,1026,Leisure and Hospitality,5676,101023,4451826706,847
Santa Clara County,2024,Annual,Private,1027,Other Services,5215,25985,1528236793,1131
Santa Clara County,2024,Annual,Private,48-49 ,Transportation and Warehousing,834,14083,1033821529,1412
Santa Clara County,2024,Annual,Private,1021,"Trade, Transportation, and Utilities",0,0,10557142600,1784
Santa Clara County,2024,Annual,Private,55,Management of Companies and Enterprises,193,60199,27219215222,8695
Santa Clara County,2024,Annual,Private,52,Finance and Insurance,2279,20624,4468774328,4167
Santa Clara County,2024,Annual,Private,22,Utilities,53,1786,329391904,3547
Santa Clara County,2024,Annual,Private,56,Administrative and Waste Services,2554,57063,4087265221,1377
Santa Clara County,2024,Annual,Private,71,"Arts, Entertainment, and Recreation",0,0,1198157422,1280
Santa Clara County,2024,Annual,Private,11,"Agriculture, Forestry, Fishing & Hunting",0,0,157938841,1003
Santa Clara County,2024,Annual,Private,1025,Education and Health Services,36831,195109,17971465551,1771
Santa Clara County,2024,Annual,Private,42,Wholesale Trade,2088,27219,4925313153,3480
Santa Clara County,2024,Annual,Private,31-33 ,Manufacturing,2607,122438,38853558366,6103
Santa Clara County,2024,Annual,Private,1011,Natural Resources and Mining,213,3184,174226606,1052
Santa Clara County,2024,Annual,Private,72,Accommodation and Food Services,4964,83017,3253669284,754
Santa Clara County,2024,Annual,Private,1024,Professional and Business Services,12777,277648,78067879513,5407
Santa Clara County,2024,Annual,Private,62,Health Care and Social Assistance,35569,151256,13140333176,1671
Santa Clara County,2024,Annual,Private,1029,Unclassified,161,195,21370845,2111
Santa Clara County,2024,Annual,Private,53,Real Estate and Rental and Leasing,3161,15408,1743123213,2176
Santa Clara County,2024,Annual,Private,23,Construction,4168,51238,6493259672,2437
Santa Clara County,2024,Annual,Private,51,Information,1778,93025,45462050239,9398
Santa Clara County,2024,Annual,Private,54,Professional and Technical Services,10030,160386,46761399070,5607
Santa Clara County,2024,Annual,Private,61,Educational Services,1262,43853,4831132375,2119
Santa Clara County,2024,Annual,Private,1022,Information,1778,93025,45462050239,9398
Santa Clara County,2024,Annual,Private,1023,Financial Activities,5440,36032,6211897541,3315
Santa Clara County,2024,Annual,Private,81,"Other Services, Ex. Public Admin",5215,0,1528236793,1131
Santa Clara County,2024,Annual,Private,21,Mining,16,157,16287765,2000
Santa Clara County,2024,Annual,Private,1012,Construction,4168,51238,6493259672,2437
