campus,total_applicants,admitted,enrolled,acceptance_rate_pct,yield_rate_pct,sat_range,act_range
Cal Poly San Luis Obispo,63955,18964,5277,29.65,27.83,1240-1420,28-33
San Diego State,90509,32561,6629,35.97,20.36,1130-1340,23-29
CSU Long Beach,79680,37547,5756,47.12,15.33,,
Cal Poly Pomona,51024,37607,4679,73.70,12.44,,
San Jose State,37132,31419,4604,84.61,14.65,1090-1330,24-30
CSU Channel Islands,10433,8941,857,85.69,9.59,,
CSU Bakersfield,13950,12303,1204,88.19,9.79,,
CSU Fullerton,53559,48482,6886,90.52,14.20,860-1070,22-30
CSU Dominguez Hills,19040,17388,1721,91.32,9.90,,
CSU Chico,23611,21623,2198,91.58,10.17,990-1293,23-28
Cal Poly Humboldt,16698,15358,955,91.97,6.22,1010-1260,26-30
CSU Northridge,30098,27748,5545,92.19,19.98,,16-22
CSU Los Angeles,32723,30395,2815,92.88,9.26,850-1045,16-24
Sonoma State,11246,10507,873,93.42,8.31,,
CSU Sacramento,22678,21248,3443,93.69,16.20,880-1100,16-24
CSU Fresno,21735,20497,3142,94.30,15.33,920-1190,21-28
CSU San Marcos,19721,18755,2624,95.10,13.99,880-1070,18-23
San Francisco State,29878,28727,2985,96.14,10.39,,
CSU East Bay,13274,12851,994,96.81,7.73,,
CSU Monterey Bay,14943,14545,1419,97.33,9.76,900-1220,20-26
CSU Stanislaus,5334,5199,1046,97.46,20.12,900-1080,15-20
CSU San Bernardino,12772,12548,2244,98.24,17.88,,
CSU Maritime Academy,943,931,143,98.72,15.36,,
