student_type,year,applied,admitted,enrolled
First-Time Freshmen,2021,180371,164477,60337
First-Time Freshmen,2022,194835,179069,65168
First-Time Freshmen,2023,204005,185901,68375
First-Time Freshmen,2024,212073,198712,68473
First-Time Freshmen,2025,213546,200322,66427
Undergraduate Transfers,2021,108941,92579,58081
Undergraduate Transfers,2022,96744,83315,51071
Undergraduate Transfers,2023,92823,80673,51299
Undergraduate Transfers,2024,96349,85270,54430
Undergraduate Transfers,2025,99461,87089,55474
