UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW 
100654, 1,10,1,1,"999","R",1286,"R",514,"R",772,"R",2,"Z",0,"R",2,"R",2,"Z",0,"R",2,"R",1158,"R",464,"R",694,"R",13,"R",8,"R",5,"R",1,"Z",0,"R",1,"R",19,"R",13,"R",6,"R",14,"R",4,"R",10,"R",68,"R",22,"R",46,"R",9,"R",3,"R",6
100654, 2,12,1,1,"999","R",1284,"R",513,"R",771,"R",2,"R",0,"R",2,"R",2,"R",0,"R",2,"R",1156,"R",463,"R",693,"R",13,"R",8,"R",5,"R",1,"R",0,"R",1,"R",19,"R",13,"R",6,"R",14,"R",4,"R",10,"R",68,"R",22,"R",46,"R",9,"R",3,"R",6
100654, 3,13,1,1,"999","R",369,"R",112,"R",257,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",320,"R",98,"R",222,"R",5,"R",3,"R",2,"R",1,"R",0,"R",1,"R",4,"R",2,"R",2,"R",3,"R",1,"R",2,"R",29,"R",6,"R",23,"R",5,"R",2,"R",3
100654, 4,20,1,1,"999","R",393,"R",130,"R",263,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",353,"R",114,"R",239,"R",5,"R",4,"R",1,"R",0,"R",0,"R",0,"R",8,"R",7,"R",1,"R",6,"R",1,"R",5,"R",20,"R",4,"R",16,"R",0,"R",0,"R",0
100654, 6,10,2,2,"10 ","R",1286,"R",514,"R",772,"R",2,"R",0,"R",2,"R",2,"R",0,"R",2,"R",1158,"R",464,"R",694,"R",13,"R",8,"R",5,"R",1,"R",0,"R",1,"R",19,"R",13,"R",6,"R",14,"R",4,"R",10,"R",68,"R",22,"R",46,"R",9,"R",3,"R",6
100654, 7,11,2,2,"45 ","R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100654, 8,12,2,2,"50 ","R",1284,"R",513,"R",771,"R",2,"R",0,"R",2,"R",2,"R",0,"R",2,"R",1156,"R",463,"R",693,"R",13,"R",8,"R",5,"R",1,"R",0,"R",1,"R",19,"R",13,"R",6,"R",14,"R",4,"R",10,"R",68,"R",22,"R",46,"R",9,"R",3,"R",6
100654, 9,13,2,2,"29A","R",369,"R",112,"R",257,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",320,"R",98,"R",222,"R",5,"R",3,"R",2,"R",1,"R",0,"R",1,"R",4,"R",2,"R",2,"R",3,"R",1,"R",2,"R",29,"R",6,"R",23,"R",5,"R",2,"R",3
100654,12,16,2,2,"18A","R",369,"R",112,"R",257,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",320,"R",98,"R",222,"R",5,"R",3,"R",2,"R",1,"R",0,"R",1,"R",4,"R",2,"R",2,"R",3,"R",1,"R",2,"R",29,"R",6,"R",23,"R",5,"R",2,"R",3
100654,13,17,2,2,"19 ","R",191,"R",45,"R",146,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",159,"R",36,"R",123,"R",3,"R",1,"R",2,"R",1,"R",0,"R",1,"R",4,"R",2,"R",2,"R",1,"R",0,"R",1,"R",16,"R",4,"R",12,"R",5,"R",2,"R",3
