Area Type,Area Name,Year,Time Period,Ownership,NAICS Level,NAICS Code,Industry Name,Establishments,Average Monthly Employment,1st Month Emp,2nd Month Emp,3rd Month Emp,Total Wages (All Workers),Average Weekly Wages
County,San Mateo County,2023,1st Qtr,Federal Government,6,812220,Cemeteries and Crematories,1,5,4,5,6,122695,1888
County,San Mateo County,2023,1st Qtr,Federal Government,2,1021,"Trade, Transportation, and Utilities",23,1107,1111,1108,1103,27462447,1908
County,San Mateo County,2023,1st Qtr,Local Government,2,1021,"Trade, Transportation, and Utilities",21,1100,1081,1108,1112,28638253,2002
County,San Mateo County,2023,1st Qtr,Local Government,2,52,Finance and Insurance,1,313,307,314,320,7254396,1779
County,San Mateo County,2023,1st Qtr,Local Government,3,711,Performing Arts and Spectator Sports,2,100,72,83,147,849843,649
County,San Mateo County,2023,1st Qtr,Local Government,4,9251,Community and Housing Program Admin,2,54,55,55,53,1190981,1686
County,San Mateo County,2023,1st Qtr,Local Government,6,926120,Transportation Program Administration,1,40,39,40,41,1055039,2029
County,San Mateo County,2023,1st Qtr,Private,2,1021,"Trade, Transportation, and Utilities",3313,64525,64963,64334,64278,1538089766,1834
County,San Mateo County,2023,1st Qtr,Private,4,1113,Fruit and Tree Nut Farming,6,36,35,37,36,329136,703
County,San Mateo County,2023,1st Qtr,Private,4,1119,Other Crop Farming,9,200,199,201,201,2392915,919
County,San Mateo County,2023,1st Qtr,Private,6,238161,Residential Roofing Contractors,65,437,414,453,445,6060692,1066
County,San Mateo County,2023,1st Qtr,Private,6,238211,Residential Electrical Contractors,158,952,960,956,941,26161312,2113
County,San Mateo County,2023,1st Qtr,Private,5,23891,Site Preparation Contractors,36,379,350,414,375,6243691,1265
County,San Mateo County,2023,1st Qtr,Private,5,33324,Industrial machinery manufacturing,5,42,40,42,44,747153,1368
County,San Mateo County,2023,1st Qtr,Private,5,33911,Medical Equipment and Supplies Mfg,55,1394,1394,1406,1382,69103355,3813
County,San Mateo County,2023,1st Qtr,Private,3,423,"Merchant Wholesalers, Durable Goods",427,5779,5796,5780,5761,221470491,2948
