"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06081","0","10","70","0","2023","A","",30203,420679,73332296290,3515579129,97847238,3352,174319,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",488,1.6,-913,-0.2,6512151247,9.7,-45523515,-1.3,-5011079,-4.9,304,10.0,15824,10.0
"06081","1","10","71","0","2023","A","",58,2615,313142021,0,0,2303,119767,"",0.37,0.32,0.17,0.00,0.00,0.51,0.51,"",4,7.4,-403,-13.4,-16171034,-4.9,0,0.0,0,0.0,205,9.8,10654,9.8
"06081","1","102","72","0","2023","A","",58,2615,313142021,0,0,2303,119767,"",0.37,0.33,0.17,0.00,0.00,0.51,0.51,"",4,7.4,-403,-13.4,-16171034,-4.9,0,0.0,0,0.0,205,9.8,10654,9.8
"06081","1","1021","73","0","2023","A","",26,1085,98963435,0,0,1754,91225,"",0.33,0.59,0.32,0.00,0.00,0.54,0.54,"",2,8.3,-119,-9.9,-6168751,-5.9,0,0.0,0,0.0,75,4.5,3900,4.5
"06081","1","1024","73","0","2023","A","",2,3,366158,0,0,2347,122053,"",0.54,0.02,0.01,0.00,0.00,0.50,0.50,"",0,0.0,0,0.0,-48828,-11.8,0,0.0,0,0.0,-47,-2.0,-2443,-2.0
"06081","1","1025","73","0","2023","A","",2,900,124097707,0,0,2652,137925,"",0.55,0.74,0.42,0.00,0.00,0.57,0.57,"",0,0.0,-28,-3.0,8437750,7.3,0,0.0,0,0.0,254,10.6,13235,10.6
"06081","1","1027","73","0","2023","A","",1,6,532371,0,0,1807,93948,"",2.38,0.44,0.25,0.00,0.00,0.59,0.59,"",0,0.0,1,20.0,75183,16.4,0,0.0,0,0.0,19,1.1,961,1.0
"06081","1","1028","73","0","2023","A","",27,621,89182350,0,0,2760,143534,"",0.42,0.14,0.08,0.00,0.00,0.55,0.55,"",2,8.0,-257,-29.3,-18466388,-17.2,0,0.0,0,0.0,403,17.1,20974,17.1
"06081","1","48-49","74","0","2023","A","",26,1085,98963435,0,0,1754,91225,"",0.34,0.64,0.34,0.00,0.00,0.53,0.53,"",2,8.3,-119,-9.9,-6168751,-5.9,0,0.0,0,0.0,75,4.5,3900,4.5
"06081","1","491","75","0","2023","A","",26,1085,98963435,0,0,1754,91225,"",0.35,0.65,0.35,0.00,0.00,0.54,0.54,"",2,8.3,-119,-9.9,-6168751,-5.9,0,0.0,0,0.0,75,4.5,3900,4.5
"06081","1","4911","76","0","2023","A","",26,1085,98963435,0,0,1754,91225,"",0.35,0.65,0.35,0.00,0.00,0.54,0.54,"",2,8.3,-119,-9.9,-6168751,-5.9,0,0.0,0,0.0,75,4.5,3900,4.5
"06081","1","49111","77","0","2023","A","",26,1085,98963435,0,0,1754,91225,"",0.35,0.65,0.35,0.00,0.00,0.54,0.54,"",2,8.3,-119,-9.9,-6168751,-5.9,0,0.0,0,0.0,75,4.5,3900,4.5
"06081","1","491110","78","0","2023","A","",26,1085,98963435,0,0,1754,91225,"",0.35,0.65,0.35,0.00,0.00,0.54,0.54,"",2,8.3,-119,-9.9,-6168751,-5.9,0,0.0,0,0.0,75,4.5,3900,4.5
"06081","1","54","74","0","2023","A","",2,3,366158,0,0,2347,122053,"",0.61,0.02,0.01,0.00,0.00,0.49,0.49,"",0,0.0,0,0.0,-48828,-11.8,0,0.0,0,0.0,-47,-2.0,-2443,-2.0
"06081","1","541","75","0","2023","A","",2,3,366158,0,0,2347,122053,"",0.61,0.02,0.01,0.00,0.00,0.49,0.49,"",0,0.0,0,0.0,-48828,-11.8,0,0.0,0,0.0,-47,-2.0,-2443,-2.0
"06081","1","5413","76","0","2023","A","",2,3,366158,0,0,2347,122053,"",0.98,0.02,0.01,0.00,0.00,0.51,0.51,"",0,0.0,0,0.0,-48828,-11.8,0,0.0,0,0.0,-47,-2.0,-2443,-2.0
"06081","1","54133","77","0","2023","A","",2,3,366158,0,0,2347,122053,"",0.99,0.02,0.01,0.00,0.00,0.51,0.51,"",0,0.0,0,0.0,-48828,-11.8,0,0.0,0,0.0,-47,-2.0,-2443,-2.0
"06081","1","541330","78","0","2023","A","",2,3,366158,0,0,2347,122053,"",0.99,0.02,0.01,0.00,0.00,0.51,0.51,"",0,0.0,0,0.0,-48828,-11.8,0,0.0,0,0.0,-47,-2.0,-2443,-2.0
"06081","1","62","74","0","2023","A","",2,900,124097707,0,0,2652,137925,"",0.63,0.76,0.43,0.00,0.00,0.56,0.56,"",0,0.0,-28,-3.0,8437750,7.3,0,0.0,0,0.0,254,10.6,13235,10.6
"06081","1","621","75","0","2023","A","",1,20,6585357,0,0,6306,327902,"",0.84,0.19,0.25,0.00,0.00,1.33,1.33,"",0,0.0,-2,-9.1,-142907,-2.1,0,0.0,0,0.0,311,5.2,16168,5.2
"06081","1","6211","76","0","2023","A","",1,20,6585357,0,0,6306,327902,"",1.17,0.29,0.37,0.00,0.00,1.29,1.28,"",0,0.0,-2,-9.1,-142907,-2.1,0,0.0,0,0.0,311,5.2,16168,5.2
"06081","1","62111","77","0","2023","A","",1,20,6585357,0,0,6306,327902,"",1.17,0.29,0.37,0.00,0.00,1.29,1.28,"",0,0.0,-2,-9.1,-142907,-2.1,0,0.0,0,0.0,311,5.2,16168,5.2
"06081","1","621111","78","0","2023","A","",1,20,6585357,0,0,6306,327902,"",1.17,0.29,0.37,0.00,0.00,1.29,1.28,"",0,0.0,-2,-9.1,-142907,-2.1,0,0.0,0,0.0,311,5.2,16168,5.2
"06081","1","622","75","0","2023","A","",1,880,117512350,0,0,2569,133587,"",0.93,0.86,0.46,0.00,0.00,0.53,0.53,"",0,0.0,-26,-2.9,8580657,7.9,0,0.0,0,0.0,257,11.1,13353,11.1
"06081","1","6221","76","0","2023","A","",1,880,117512350,0,0,2569,133587,"",0.95,0.87,0.46,0.00,0.00,0.53,0.53,"",0,0.0,-26,-2.9,8580657,7.9,0,0.0,0,0.0,257,11.1,13353,11.1
"06081","1","62211","77","0","2023","A","",1,880,117512350,0,0,2569,133587,"",0.95,0.87,0.46,0.00,0.00,0.53,0.53,"",0,0.0,-26,-2.9,8580657,7.9,0,0.0,0,0.0,257,11.1,13353,11.1
"06081","1","622110","78","0","2023","A","",1,880,117512350,0,0,2569,133587,"",0.95,0.87,0.46,0.00,0.00,0.53,0.53,"",0,0.0,-26,-2.9,8580657,7.9,0,0.0,0,0.0,257,11.1,13353,11.1
"06081","1","81","74","0","2023","A","",1,6,532371,0,0,1807,93948,"",2.38,0.44,0.25,0.00,0.00,0.59,0.59,"",0,0.0,1,20.0,75183,16.4,0,0.0,0,0.0,19,1.1,961,1.0
"06081","1","812","75","0","2023","A","",1,6,532371,0,0,1807,93948,"",4.73,1.40,0.77,0.00,0.00,0.58,0.58,"",0,0.0,1,20.0,75183,16.4,0,0.0,0,0.0,19,1.1,961,1.0
"06081","1","8122","76","0","2023","A","",1,6,532371,0,0,1807,93948,"",5.31,1.42,0.77,0.00,0.00,0.58,0.57,"",0,0.0,1,20.0,75183,16.4,0,0.0,0,0.0,19,1.1,961,1.0
"06081","1","81222","77","0","2023","A","",1,6,532371,0,0,1807,93948,"",5.31,1.42,0.77,0.00,0.00,0.58,0.57,"",0,0.0,1,20.0,75183,16.4,0,0.0,0,0.0,19,1.1,961,1.0
"06081","1","812220","78","0","2023","A","",1,6,532371,0,0,1807,93948,"",5.31,1.42,0.77,0.00,0.00,0.58,0.57,"",0,0.0,1,20.0,75183,16.4,0,0.0,0,0.0,19,1.1,961,1.0
"06081","1","92","74","0","2023","A","",27,621,89182350,0,0,2760,143534,"",0.42,0.14,0.08,0.00,0.00,0.55,0.55,"",2,8.0,-257,-29.3,-18466388,-17.2,0,0.0,0,0.0,403,17.1,20974,17.1
"06081","1","921","75","0","2023","A","",4,85,10576277,0,0,2388,124183,"",0.91,0.20,0.10,0.00,0.00,0.51,0.51,"",-1,-20.0,12,16.4,2809198,36.2,0,0.0,0,0.0,328,15.9,17051,15.9
"06081","1","9211","76","0","2023","A","",4,85,10576277,0,0,2388,124183,"",0.91,0.20,0.10,0.00,0.00,0.51,0.51,"",-1,-20.0,12,16.4,2809198,36.2,0,0.0,0,0.0,328,15.9,17051,15.9
"06081","1","92113","77","0","2023","A","",1,39,5437821,0,0,2710,140937,"",0.68,0.14,0.08,0.00,0.00,0.59,0.59,"",0,0.0,11,39.3,1962379,56.5,0,0.0,0,0.0,330,13.9,17182,13.9
"06081","1","921130","78","0","2023","A","",1,39,5437821,0,0,2710,140937,"",0.68,0.14,0.08,0.00,0.00,0.59,0.59,"",0,0.0,11,39.3,1962379,56.5,0,0.0,0,0.0,330,13.9,17182,13.9
"06081","1","92119","77","0","2023","A","",3,47,5138456,0,0,2121,110307,"",1.05,0.50,0.20,0.00,0.00,0.42,0.42,"",-1,-25.0,3,6.8,846819,19.7,0,0.0,0,0.0,263,14.2,13685,14.2
"06081","1","921190","78","0","2023","A","",3,47,5138456,0,0,2121,110307,"",1.05,0.50,0.20,0.00,0.00,0.42,0.42,"",-1,-25.0,3,6.8,846819,19.7,0,0.0,0,0.0,263,14.2,13685,14.2
"06081","1","922","75","0","2023","A","",6,194,36217259,0,0,3598,187089,"",0.68,0.27,0.17,0.00,0.00,0.63,0.63,"",3,100.0,-289,-59.8,-26611035,-42.4,0,0.0,0,0.0,1095,43.7,56942,43.8
"06081","1","9221","76","0","2023","A","",6,194,36217259,0,0,3598,187089,"",0.68,0.27,0.17,0.00,0.00,0.63,0.63,"",3,100.0,-289,-59.8,-26611035,-42.4,0,0.0,0,0.0,1095,43.7,56942,43.8
"06081","1","92211","77","0","2023","A","",3,3,304456,0,0,2066,107455,"",1.71,0.03,0.01,0.00,0.00,0.41,0.41,"N",3,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","922110","78","0","2023","A","",3,3,304456,0,0,2066,107455,"",1.71,0.03,0.01,0.00,0.00,0.41,0.41,"N",3,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","92212","77","0","2023","A","",2,190,35641062,0,0,3609,187667,"",0.46,0.48,0.29,0.00,0.00,0.60,0.60,"",0,0.0,-287,-60.2,-26127534,-42.3,0,0.0,0,0.0,1120,45.0,58264,45.0
"06081","1","922120","78","0","2023","A","",2,190,35641062,0,0,3609,187667,"",0.46,0.48,0.29,0.00,0.00,0.60,0.60,"",0,0.0,-287,-60.2,-26127534,-42.3,0,0.0,0,0.0,1120,45.0,58264,45.0
"06081","1","92213","77","0","2023","A","",1,1,271741,0,0,6271,326089,"",1.09,0.02,0.01,0.00,0.00,0.99,0.99,"",0,0.0,-4,-80.0,-787957,-74.4,0,0.0,0,0.0,2509,66.7,130452,66.7
"06081","1","922130","78","0","2023","A","",1,1,271741,0,0,6271,326089,"",1.09,0.02,0.01,0.00,0.00,0.99,0.99,"",0,0.0,-4,-80.0,-787957,-74.4,0,0.0,0,0.0,2509,66.7,130452,66.7
"06081","1","923","75","0","2023","A","",4,73,9218886,0,0,2418,125712,"",0.60,0.12,0.05,0.00,0.00,0.47,0.47,"",-1,-20.0,7,10.6,1660475,22.0,0,0.0,0,0.0,204,9.2,10609,9.2
"06081","1","9231","76","0","2023","A","",4,73,9218886,0,0,2418,125712,"",0.60,0.12,0.05,0.00,0.00,0.47,0.47,"",-1,-20.0,7,10.6,1660475,22.0,0,0.0,0,0.0,204,9.2,10609,9.2
"06081","1","92312","77","0","2023","A","",3,30,4806802,0,0,3047,158466,"",1.55,0.17,0.08,0.00,0.00,0.49,0.49,"",0,0.0,7,30.4,1360746,39.5,0,0.0,0,0.0,166,5.8,8637,5.8
"06081","1","923120","78","0","2023","A","",3,30,4806802,0,0,3047,158466,"",1.55,0.17,0.08,0.00,0.00,0.49,0.49,"",0,0.0,7,30.4,1360746,39.5,0,0.0,0,0.0,166,5.8,8637,5.8
"06081","1","92313","77","0","2023","A","",1,43,4412084,0,0,1973,102607,"",0.28,0.22,0.10,0.00,0.00,0.43,0.43,"",-1,-50.0,0,0.0,299729,7.3,0,0.0,0,0.0,119,6.4,6224,6.5
"06081","1","923130","78","0","2023","A","",1,43,4412084,0,0,1973,102607,"",0.28,0.22,0.10,0.00,0.00,0.43,0.43,"",-1,-50.0,0,0.0,299729,7.3,0,0.0,0,0.0,119,6.4,6224,6.5
"06081","1","924","75","0","2023","A","",3,136,16419450,0,0,2327,121028,"",0.23,0.49,0.25,0.00,0.00,0.51,0.51,"",0,0.0,-12,-8.1,-138273,-0.8,0,0.0,0,0.0,182,8.5,9466,8.5
"06081","1","9241","76","0","2023","A","",3,136,16419450,0,0,2327,121028,"",0.23,0.49,0.25,0.00,0.00,0.51,0.51,"",0,0.0,-12,-8.1,-138273,-0.8,0,0.0,0,0.0,182,8.5,9466,8.5
"06081","1","92412","77","0","2023","A","",3,136,16419450,0,0,2327,121028,"",0.25,0.60,0.32,0.00,0.00,0.54,0.54,"",0,0.0,-12,-8.1,-138273,-0.8,0,0.0,0,0.0,182,8.5,9466,8.5
"06081","1","924120","78","0","2023","A","",3,136,16419450,0,0,2327,121028,"",0.25,0.60,0.32,0.00,0.00,0.54,0.54,"",0,0.0,-12,-8.1,-138273,-0.8,0,0.0,0,0.0,182,8.5,9466,8.5
"06081","1","926","75","0","2023","A","",8,99,11647457,0,0,2263,117651,"",0.33,0.14,0.06,0.00,0.00,0.44,0.44,"",1,14.3,8,8.8,1586509,15.8,0,0.0,0,0.0,125,5.8,6480,5.8
"06081","1","9261","76","0","2023","A","",8,99,11647457,0,0,2263,117651,"",0.33,0.14,0.06,0.00,0.00,0.44,0.44,"",1,14.3,8,8.8,1586509,15.8,0,0.0,0,0.0,125,5.8,6480,5.8
"06081","1","92611","77","0","2023","A","",5,58,6410197,0,0,2113,109889,"",0.47,0.43,0.17,0.00,0.00,0.40,0.40,"",1,25.0,17,41.5,2345029,57.7,0,0.0,0,0.0,222,11.7,11538,11.7
"06081","1","926110","78","0","2023","A","",5,58,6410197,0,0,2113,109889,"",0.47,0.43,0.17,0.00,0.00,0.40,0.40,"",1,25.0,17,41.5,2345029,57.7,0,0.0,0,0.0,222,11.7,11538,11.7
"06081","1","92614","77","0","2023","A","",2,26,2825128,0,0,2103,109360,"",0.25,0.20,0.10,0.00,0.00,0.48,0.48,"",0,0.0,-1,-3.7,-27978,-1.0,0,0.0,0,0.0,71,3.5,3689,3.5
"06081","1","926140","78","0","2023","A","",2,26,2825128,0,0,2103,109360,"",0.25,0.20,0.10,0.00,0.00,0.48,0.48,"",0,0.0,-1,-3.7,-27978,-1.0,0,0.0,0,0.0,71,3.5,3689,3.5
"06081","1","92615","77","0","2023","A","",1,15,2412132,0,0,3127,162616,"",0.42,0.16,0.07,0.00,0.00,0.45,0.45,"",0,0.0,-1,-6.2,84001,3.6,0,0.0,0,0.0,284,10.0,14798,10.0
"06081","1","926150","78","0","2023","A","",1,15,2412132,0,0,3127,162616,"",0.42,0.16,0.07,0.00,0.00,0.45,0.45,"",0,0.0,-1,-6.2,84001,3.6,0,0.0,0,0.0,284,10.0,14798,10.0
