"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06085","0","10","70","0","2023","A","",79372,1119710,195606022735,9029586005,259555038,3359,174694,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1877,2.4,2400,0.2,8108489583,4.3,-357271253,-3.8,-27841891,-9.7,132,4.1,6882,4.1
"06085","1","10","71","0","2023","A","",91,10030,1264744482,0,0,2425,126091,"",0.22,0.47,0.25,0.00,0.00,0.53,0.53,"",4,4.6,-43,-0.4,89429736,7.6,0,0.0,0,0.0,181,8.1,9410,8.1
"06085","1","102","72","0","2023","A","",91,10030,1264744482,0,0,2425,126091,"",0.22,0.48,0.25,0.00,0.00,0.53,0.53,"",4,4.6,-43,-0.4,89429736,7.6,0,0.0,0,0.0,181,8.1,9410,8.1
"06085","1","1021","73","0","2023","A","",45,2669,215253849,0,0,1551,80655,"",0.22,0.54,0.26,0.00,0.00,0.47,0.47,"",6,15.4,-74,-2.7,-5927041,-2.7,0,0.0,0,0.0,0,0.0,8,0.0
"06085","1","1025","73","0","2023","A","",1,3580,552378532,0,0,2967,154285,"",0.10,1.11,0.70,0.00,0.00,0.63,0.63,"",0,0.0,110,3.2,74905454,15.7,0,0.0,0,0.0,321,12.1,16698,12.1
"06085","1","1028","73","0","2023","A","",45,3781,497112101,0,0,2528,131465,"",0.27,0.32,0.16,0.00,0.00,0.50,0.50,"",-2,-4.3,-79,-2.0,20451323,4.3,0,0.0,0,0.0,153,6.4,7978,6.5
"06085","1","44-45","74","0","2023","A","",2,50,2817869,0,0,1095,56927,"",0.42,0.17,0.10,0.00,0.00,0.61,0.61,"",0,0.0,11,28.2,581491,26.0,0,0.0,0,0.0,-15,-1.4,-786,-1.4
"06085","1","445","75","0","2023","A","",1,37,2327841,0,0,1196,62214,"",0.73,0.50,0.26,0.00,0.00,0.52,0.52,"",0,0.0,9,32.1,528369,29.4,0,0.0,0,0.0,-25,-2.0,-1297,-2.0
"06085","1","4451","76","0","2023","A","",1,37,2327841,0,0,1196,62214,"",0.73,0.50,0.26,0.00,0.00,0.52,0.52,"",0,0.0,9,32.1,528369,29.4,0,0.0,0,0.0,-25,-2.0,-1297,-2.0
"06085","1","44511","77","0","2023","A","",1,37,2327841,0,0,1196,62214,"",0.85,0.54,0.28,0.00,0.00,0.51,0.51,"",0,0.0,9,32.1,528369,29.4,0,0.0,0,0.0,-25,-2.0,-1297,-2.0
"06085","1","445110","78","0","2023","A","",1,37,2327841,0,0,1196,62214,"",0.85,0.54,0.28,0.00,0.00,0.51,0.51,"",0,0.0,9,32.1,528369,29.4,0,0.0,0,0.0,-25,-2.0,-1297,-2.0
"06085","1","455","75","0","2023","A","",1,12,490028,0,0,780,40554,"",0.53,0.06,0.03,0.00,0.00,0.46,0.46,"",0,0.0,2,20.0,53122,12.2,0,0.0,0,0.0,-27,-3.3,-1389,-3.3
"06085","1","4551","76","0","2023","A","",1,12,490028,0,0,780,40554,"",0.71,0.10,0.04,0.00,0.00,0.46,0.46,"",0,0.0,2,20.0,53122,12.2,0,0.0,0,0.0,-27,-3.3,-1389,-3.3
"06085","1","45511","77","0","2023","A","",1,12,490028,0,0,780,40554,"",0.71,0.10,0.04,0.00,0.00,0.46,0.46,"",0,0.0,2,20.0,53122,12.2,0,0.0,0,0.0,-27,-3.3,-1389,-3.3
"06085","1","455110","78","0","2023","A","",1,12,490028,0,0,780,40554,"",0.71,0.10,0.04,0.00,0.00,0.46,0.46,"",0,0.0,2,20.0,53122,12.2,0,0.0,0,0.0,-27,-3.3,-1389,-3.3
"06085","1","48-49","74","0","2023","A","",43,2619,212435980,0,0,1560,81103,"",0.22,0.58,0.27,0.00,0.00,0.47,0.47,"",6,16.2,-85,-3.1,-6508532,-3.0,0,0.0,0,0.0,3,0.2,127,0.2
"06085","1","491","75","0","2023","A","",43,2619,212435980,0,0,1560,81103,"",0.22,0.59,0.29,0.00,0.00,0.48,0.48,"",6,16.2,-85,-3.1,-6508532,-3.0,0,0.0,0,0.0,3,0.2,127,0.2
"06085","1","4911","76","0","2023","A","",43,2619,212435980,0,0,1560,81103,"",0.22,0.59,0.29,0.00,0.00,0.48,0.48,"",6,16.2,-85,-3.1,-6508532,-3.0,0,0.0,0,0.0,3,0.2,127,0.2
"06085","1","49111","77","0","2023","A","",43,2619,212435980,0,0,1560,81103,"",0.22,0.59,0.29,0.00,0.00,0.48,0.48,"",6,16.2,-85,-3.1,-6508532,-3.0,0,0.0,0,0.0,3,0.2,127,0.2
"06085","1","491110","78","0","2023","A","",43,2619,212435980,0,0,1560,81103,"",0.22,0.59,0.29,0.00,0.00,0.48,0.48,"",6,16.2,-85,-3.1,-6508532,-3.0,0,0.0,0,0.0,3,0.2,127,0.2
"06085","1","62","74","0","2023","A","",1,3580,552378532,0,0,2967,154285,"",0.12,1.14,0.72,0.00,0.00,0.63,0.63,"",0,0.0,110,3.2,74905454,15.7,0,0.0,0,0.0,321,12.1,16698,12.1
"06085","1","622","75","0","2023","A","",1,3580,552378532,0,0,2967,154285,"",0.36,1.31,0.80,0.00,0.00,0.62,0.61,"",0,0.0,110,3.2,74905454,15.7,0,0.0,0,0.0,321,12.1,16698,12.1
"06085","1","6221","76","0","2023","A","",1,3580,552378532,0,0,2967,154285,"",0.36,1.33,0.82,0.00,0.00,0.61,0.61,"",0,0.0,110,3.2,74905454,15.7,0,0.0,0,0.0,321,12.1,16698,12.1
"06085","1","62211","77","0","2023","A","",1,3580,552378532,0,0,2967,154285,"",0.36,1.33,0.82,0.00,0.00,0.61,0.61,"",0,0.0,110,3.2,74905454,15.7,0,0.0,0,0.0,321,12.1,16698,12.1
"06085","1","622110","78","0","2023","A","",1,3580,552378532,0,0,2967,154285,"",0.36,1.33,0.82,0.00,0.00,0.61,0.61,"",0,0.0,110,3.2,74905454,15.7,0,0.0,0,0.0,321,12.1,16698,12.1
"06085","1","92","74","0","2023","A","",45,3781,497112101,0,0,2528,131465,"",0.27,0.32,0.16,0.00,0.00,0.50,0.50,"",-2,-4.3,-79,-2.0,20451323,4.3,0,0.0,0,0.0,153,6.4,7978,6.5
"06085","1","921","75","0","2023","A","",4,305,42181047,0,0,2660,138336,"",0.35,0.27,0.15,0.00,0.00,0.57,0.57,"",0,0.0,-18,-5.6,821693,2.0,0,0.0,0,0.0,197,8.0,10255,8.0
"06085","1","9211","76","0","2023","A","",4,305,42181047,0,0,2660,138336,"",0.35,0.27,0.15,0.00,0.00,0.57,0.57,"",0,0.0,-18,-5.6,821693,2.0,0,0.0,0,0.0,197,8.0,10255,8.0
"06085","1","92113","77","0","2023","A","",2,285,39409136,0,0,2661,138359,"",0.52,0.38,0.22,0.00,0.00,0.57,0.57,"",0,0.0,-15,-5.0,915700,2.4,0,0.0,0,0.0,196,8.0,10190,8.0
"06085","1","921130","78","0","2023","A","",2,285,39409136,0,0,2661,138359,"",0.52,0.38,0.22,0.00,0.00,0.57,0.57,"",0,0.0,-15,-5.0,915700,2.4,0,0.0,0,0.0,196,8.0,10190,8.0
"06085","1","92119","77","0","2023","A","",2,20,2771911,0,0,2654,138020,"",0.27,0.08,0.04,0.00,0.00,0.52,0.52,"",0,0.0,-3,-13.0,-94007,-3.3,0,0.0,0,0.0,214,8.8,11116,8.8
"06085","1","921190","78","0","2023","A","",2,20,2771911,0,0,2654,138020,"",0.27,0.08,0.04,0.00,0.00,0.52,0.52,"",0,0.0,-3,-13.0,-94007,-3.3,0,0.0,0,0.0,214,8.8,11116,8.8
"06085","1","922","75","0","2023","A","",14,346,47134402,0,0,2623,136391,"",0.61,0.18,0.08,0.00,0.00,0.46,0.46,"",1,7.7,-7,-2.0,1021588,2.2,0,0.0,0,0.0,112,4.5,5821,4.5
"06085","1","9221","76","0","2023","A","",14,346,47134402,0,0,2623,136391,"",0.61,0.18,0.08,0.00,0.00,0.46,0.46,"",1,7.7,-7,-2.0,1021588,2.2,0,0.0,0,0.0,112,4.5,5821,4.5
"06085","1","92211","77","0","2023","A","",2,92,10380907,0,0,2164,112530,"",0.43,0.38,0.16,0.00,0.00,0.43,0.43,"",1,100.0,-3,-3.2,149877,1.5,0,0.0,0,0.0,84,4.0,4361,4.0
"06085","1","922110","78","0","2023","A","",2,92,10380907,0,0,2164,112530,"",0.43,0.38,0.16,0.00,0.00,0.43,0.43,"",1,100.0,-3,-3.2,149877,1.5,0,0.0,0,0.0,84,4.0,4361,4.0
"06085","1","92212","77","0","2023","A","",8,205,29534396,0,0,2768,143953,"",0.71,0.19,0.09,0.00,0.00,0.46,0.46,"",0,0.0,-2,-1.0,1054493,3.7,0,0.0,0,0.0,123,4.7,6424,4.7
"06085","1","922120","78","0","2023","A","",8,205,29534396,0,0,2768,143953,"",0.71,0.19,0.09,0.00,0.00,0.46,0.46,"",0,0.0,-2,-1.0,1054493,3.7,0,0.0,0,0.0,123,4.7,6424,4.7
"06085","1","92213","77","0","2023","A","",3,38,5944683,0,0,3049,158525,"",1.24,0.23,0.11,0.00,0.00,0.48,0.48,"",0,0.0,-2,-5.0,-310918,-5.0,0,0.0,0,0.0,73,2.5,3747,2.4
"06085","1","922130","78","0","2023","A","",3,38,5944683,0,0,3049,158525,"",1.24,0.23,0.11,0.00,0.00,0.48,0.48,"",0,0.0,-2,-5.0,-310918,-5.0,0,0.0,0,0.0,73,2.5,3747,2.4
"06085","1","92219","77","0","2023","A","",1,11,1274416,0,0,2298,119477,"",0.26,0.05,0.02,0.00,0.00,0.42,0.42,"",0,0.0,0,0.0,128136,11.2,0,0.0,0,0.0,309,15.5,16053,15.5
"06085","1","922190","78","0","2023","A","",1,11,1274416,0,0,2298,119477,"",0.26,0.05,0.02,0.00,0.00,0.42,0.42,"",0,0.0,0,0.0,128136,11.2,0,0.0,0,0.0,309,15.5,16053,15.5
"06085","1","923","75","0","2023","A","",6,452,54038417,0,0,2297,119444,"",0.34,0.27,0.12,0.00,0.00,0.45,0.45,"",-2,-25.0,53,13.3,10723556,24.8,0,0.0,0,0.0,210,10.1,10931,10.1
"06085","1","9231","76","0","2023","A","",6,452,54038417,0,0,2297,119444,"",0.34,0.27,0.12,0.00,0.00,0.45,0.45,"",-2,-25.0,53,13.3,10723556,24.8,0,0.0,0,0.0,210,10.1,10931,10.1
"06085","1","92312","77","0","2023","A","",2,48,5428241,0,0,2160,112308,"",0.39,0.10,0.04,0.00,0.00,0.35,0.35,"",0,0.0,27,128.6,3563867,191.2,0,0.0,0,0.0,432,25.0,22459,25.0
"06085","1","923120","78","0","2023","A","",2,48,5428241,0,0,2160,112308,"",0.39,0.10,0.04,0.00,0.00,0.35,0.35,"",0,0.0,27,128.6,3563867,191.2,0,0.0,0,0.0,432,25.0,22459,25.0
"06085","1","92313","77","0","2023","A","",2,146,14477352,0,0,1910,99330,"",0.22,0.29,0.12,0.00,0.00,0.41,0.41,"",-2,-50.0,3,2.1,882267,6.5,0,0.0,0,0.0,76,4.1,3982,4.2
"06085","1","923130","78","0","2023","A","",2,146,14477352,0,0,1910,99330,"",0.22,0.29,0.12,0.00,0.00,0.41,0.41,"",-2,-50.0,3,2.1,882267,6.5,0,0.0,0,0.0,76,4.1,3982,4.2
"06085","1","92314","77","0","2023","A","",2,258,34132824,0,0,2541,132127,"",0.82,0.38,0.20,0.00,0.00,0.54,0.53,"",0,0.0,22,9.3,6277422,22.5,0,0.0,0,0.0,270,11.9,14012,11.9
"06085","1","923140","78","0","2023","A","",2,258,34132824,0,0,2541,132127,"",0.82,0.38,0.20,0.00,0.00,0.54,0.53,"",0,0.0,22,9.3,6277422,22.5,0,0.0,0,0.0,270,11.9,14012,11.9
"06085","1","924","75","0","2023","A","",3,244,33620156,0,0,2650,137788,"",0.09,0.33,0.19,0.00,0.00,0.58,0.58,"",0,0.0,-6,-2.4,998397,3.1,0,0.0,0,0.0,139,5.5,7214,5.5
"06085","1","9241","76","0","2023","A","",3,244,33620156,0,0,2650,137788,"",0.09,0.33,0.19,0.00,0.00,0.58,0.58,"",0,0.0,-6,-2.4,998397,3.1,0,0.0,0,0.0,139,5.5,7214,5.5
"06085","1","92412","77","0","2023","A","",3,244,33620156,0,0,2650,137788,"",0.09,0.40,0.25,0.00,0.00,0.62,0.62,"",0,0.0,-6,-2.4,998397,3.1,0,0.0,0,0.0,139,5.5,7214,5.5
"06085","1","924120","78","0","2023","A","",3,244,33620156,0,0,2650,137788,"",0.09,0.40,0.25,0.00,0.00,0.62,0.62,"",0,0.0,-6,-2.4,998397,3.1,0,0.0,0,0.0,139,5.5,7214,5.5
"06085","1","926","75","0","2023","A","",12,623,58894352,0,0,1818,94533,"",0.19,0.34,0.12,0.00,0.00,0.35,0.35,"",1,9.1,8,1.3,5481895,10.3,0,0.0,0,0.0,147,8.8,7625,8.8
"06085","1","9261","76","0","2023","A","",12,623,58894352,0,0,1818,94533,"",0.19,0.34,0.12,0.00,0.00,0.35,0.35,"",1,9.1,8,1.3,5481895,10.3,0,0.0,0,0.0,147,8.8,7625,8.8
"06085","1","92611","77","0","2023","A","",5,43,3125820,0,0,1393,72413,"",0.18,0.12,0.03,0.00,0.00,0.27,0.27,"",2,66.7,-7,-14.0,97230,3.2,0,0.0,0,0.0,224,19.2,11639,19.2
"06085","1","926110","78","0","2023","A","",5,43,3125820,0,0,1393,72413,"",0.18,0.12,0.03,0.00,0.00,0.27,0.27,"",2,66.7,-7,-14.0,97230,3.2,0,0.0,0,0.0,224,19.2,11639,19.2
"06085","1","92612","77","0","2023","A","",5,553,52845790,0,0,1837,95519,"",0.76,0.69,0.26,0.00,0.00,0.38,0.38,"",-1,-16.7,12,2.2,5393174,11.4,0,0.0,0,0.0,149,8.8,7752,8.8
"06085","1","926120","78","0","2023","A","",5,553,52845790,0,0,1837,95519,"",0.76,0.69,0.26,0.00,0.00,0.38,0.38,"",-1,-16.7,12,2.2,5393174,11.4,0,0.0,0,0.0,149,8.8,7752,8.8
"06085","1","92614","77","0","2023","A","",1,11,1241017,0,0,2170,112820,"",0.05,0.03,0.02,0.00,0.00,0.50,0.50,"",0,0.0,0,0.0,7338,0.6,0,0.0,0,0.0,45,2.1,2341,2.1
"06085","1","926140","78","0","2023","A","",1,11,1241017,0,0,2170,112820,"",0.05,0.03,0.02,0.00,0.00,0.50,0.50,"",0,0.0,0,0.0,7338,0.6,0,0.0,0,0.0,45,2.1,2341,2.1
"06085","1","92615","77","0","2023","A","",1,16,1681725,0,0,2075,107918,"",0.16,0.06,0.02,0.00,0.00,0.30,0.30,"",-1,-50.0,3,23.1,-15847,-0.9,0,0.0,0,0.0,-452,-17.9,-23507,-17.9
"06085","1","926150","78","0","2023","A","",1,16,1681725,0,0,2075,107918,"",0.16,0.06,0.02,0.00,0.00,0.30,0.30,"",-1,-50.0,3,23.1,-15847,-0.9,0,0.0,0,0.0,-452,-17.9,-23507,-17.9
"06085","1","927","75","0","2023","A","",1,1105,178069845,0,0,3099,161149,"",1.42,8.37,3.88,0.00,0.00,0.46,0.46,"",-1,-50.0,-92,-7.7,-3267175,-1.8,0,0.0,0,0.0,186,6.4,9688,6.4
"06085","1","9271","76","0","2023","A","",1,1105,178069845,0,0,3099,161149,"",1.42,8.37,3.88,0.00,0.00,0.46,0.46,"",-1,-50.0,-92,-7.7,-3267175,-1.8,0,0.0,0,0.0,186,6.4,9688,6.4
"06085","1","92711","77","0","2023","A","",1,1105,178069845,0,0,3099,161149,"",1.42,8.37,3.88,0.00,0.00,0.46,0.46,"",-1,-50.0,-92,-7.7,-3267175,-1.8,0,0.0,0,0.0,186,6.4,9688,6.4
"06085","1","927110","78","0","2023","A","",1,1105,178069845,0,0,3099,161149,"",1.42,8.37,3.88,0.00,0.00,0.46,0.46,"",-1,-50.0,-92,-7.7,-3267175,-1.8,0,0.0,0,0.0,186,6.4,9688,6.4
"06085","1","928","75","0","2023","A","",6,706,83173882,0,0,2264,117741,"",0.36,0.16,0.08,0.00,0.00,0.48,0.47,"",0,0.0,-17,-2.4,4671369,6.0,0,0.0,0,0.0,176,8.4,9175,8.5
